project,manual_annotation,arm,autonima_run,auto_column,broad_arm,dice,pearson_r,r2,studies,points,voxels
problem_solving,global_calculationandvisuospatialandword_mni_final,autonima,v2,domain_general_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.7547,0.902,0.8136,196,6390,228483
problem_solving,global_calculationandvisuospatialandword_mni_final,baseline_sub,v2,domain_general_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.5495,0.8442,0.7127,1614,57161,228483
problem_solving,global_calculationandvisuospatialandword_mni_final,baseline_broad,v2,domain_general_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.5495,0.8442,0.7127,1614,57161,228483
problem_solving,calculation_mni_final,autonima,v2,mathematical_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.6762,0.8636,0.7459,72,2154,228483
problem_solving,calculation_mni_final,baseline_sub,v2,mathematical_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.6368,0.8442,0.7126,173,6598,228483
problem_solving,calculation_mni_final,baseline_broad,v2,mathematical_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.3903,0.783,0.613,1614,57161,228483
problem_solving,wordproblems_mni_final,autonima,v2,verbal_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.5812,0.7532,0.5673,52,1307,228483
problem_solving,wordproblems_mni_final,baseline_sub,v2,verbal_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.3242,0.706,0.4984,716,25587,228483
problem_solving,wordproblems_mni_final,baseline_broad,v2,verbal_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.2726,0.6959,0.4843,1614,57161,228483
problem_solving,visuospatialreasoning_mni_final,autonima,v2,visuospatial_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.4552,0.6751,0.4557,83,2524,228483
problem_solving,visuospatialreasoning_mni_final,baseline_sub,v2,visuospatial_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.3344,0.5337,0.2849,194,8486,228483
problem_solving,visuospatialreasoning_mni_final,baseline_broad,v2,visuospatial_problem_solving,global_calculationandvisuospatialandword_mni_final:all_analyses,0.222,0.5104,0.2605,1614,57161,228483
problem_solving,demand_mni_final,autonima,v2,logical_reasoning,global_calculationandvisuospatialandword_mni_final:all_analyses,0.5789,0.7957,0.6331,73,1465,228483
problem_solving,demand_mni_final,baseline_sub,v2,logical_reasoning,global_calculationandvisuospatialandword_mni_final:all_analyses,0.377,0.6759,0.4569,274,10996,228483
problem_solving,demand_mni_final,baseline_broad,v2,logical_reasoning,global_calculationandvisuospatialandword_mni_final:all_analyses,0.269,0.7143,0.5102,1614,57161,228483
